description,label
"Employment Offer: We are pleased to offer you the position of Software Engineer at TechSolutions Inc. Salary: $12007/month. To accept this offer, please complete the formalities including a $302 processing charge for HR documentation. This is standard procedure for all new hires. We are an equal opportunity employer.",1
Great Software Engineer opportunity with fast-growing company. Competitive salary and benefits. We require candidates to complete a skills assessment test. The testing fee is $120 and covers certification upon completion. Successful candidates will be fast-tracked for interviews. Apply with your resume and cover letter. Act fast - applications close soon.,1
"Senior DevOps Engineer needed for our infrastructure team. Experience with Python, JavaScript required. You will be responsible for developing web applications, ensuring system reliability and implementing CI/CD pipelines. 1 years minimum experience. Competitive compensation and remote work options. Diverse team environment. Drug test may be required.",0
Premium DevOps Engineer position available. We offer exceptional compensation of $12218 monthly for qualified candidates. No extensive experience required - we provide comprehensive training. Submit your application along with a $102 application processing fee to be considered. We are an equal opportunity employer. Great benefits included.,1
"Uber is looking for an experienced Marketing Manager to lead our marketing initiatives. The role involves developing marketing strategies, managing campaigns, and analyzing performance metrics. Required: 2 years in digital marketing, experience with AWS, Docker. Competitive salary and benefits package. Great benefits included.",0
"We are seeking a talented Software Engineer to join our growing team at Meta. The ideal candidate will have 6 years of experience in Python, JavaScript. Responsibilities include developing web applications. We offer competitive salary, health benefits, and opportunities for professional growth. Bachelor's degree in Computer Science or related field preferred. No phone calls please.",0
Great DevOps Engineer opportunity with fast-growing company. Competitive salary and benefits. We require candidates to complete a skills assessment test. The testing fee is $90 and covers certification upon completion. Successful candidates will be fast-tracked for interviews. Flexible working hours. Great benefits included. Professional development opportunities. Act fast - applications close soon.,1
"We are seeking a talented Software Engineer to join our growing team at Netflix. The ideal candidate will have 4 years of experience in SQL, Tableau. Responsibilities include managing marketing campaigns. We offer competitive salary, health benefits, and opportunities for professional growth. Bachelor's degree in Computer Science or related field preferred. Great benefits included. Diverse team environment. We are an equal opportunity employer.",0
"Work from home Customer Service Rep opportunity! Flexible hours, excellent compensation. We provide all necessary tools and training. There is a one-time setup fee of $215 for software licensing and materials. Start earning within days of enrollment. Limited positions available. Great benefits included.",1
"Tesla is looking for an experienced Marketing Manager to lead our marketing initiatives. The role involves developing marketing strategies, managing campaigns, and analyzing performance metrics. Required: 4 years in digital marketing, experience with Java, Spring Boot. Competitive salary and benefits package. Drug test may be required. Diverse team environment. Interviewing candidates now.",0
"Looking for Borderline Real Job with some experience in Digital Marketing, SEO. Great opportunity to grow with our company. We offer good salary and benefits. If you have 7 years experience and are motivated, please apply. Training provided for the right candidate. Drug test may be required. Please apply ASAP.",0
"Exciting opportunity: Marketing Manager position with competitive salary. To finalize your application, please complete the registration process with a $377 administrative fee. This covers background verification and is fully refundable. Contact hr@company.com for immediate processing. Professional development opportunities. Background check required. Flexible working hours.",1
"Adobe is looking for an experienced Marketing Manager to lead our marketing initiatives. The role involves developing marketing strategies, managing campaigns, and analyzing performance metrics. Required: 5 years in digital marketing, experience with SQL, Tableau. Competitive salary and benefits package. We are an equal opportunity employer. Diverse team environment.",0
"Looking for Borderline Real Job with some experience in Digital Marketing, SEO. Great opportunity to grow with our company. We offer good salary and benefits. If you have 4 years experience and are motivated, please apply. Training provided for the right candidate. Apply with your resume and cover letter. No phone calls please. Position available immediately.",0
"Adobe needs a Real Job with Minor Issues immediately. Must have Java, Spring Boot experience. Competitive pay but requires quick start. We may ask for references. Full-time position with standard benefits. Apply today - interviews this week. We are an equal opportunity employer.",0
"We are seeking a talented Software Engineer to join our growing team at Netflix. The ideal candidate will have 4 years of experience in SQL, Tableau. Responsibilities include managing marketing campaigns. We offer competitive salary, health benefits, and opportunities for professional growth. Bachelor's degree in Computer Science or related field preferred. Professional development opportunities.",0
"Dear Candidate, Congratulations on being shortlisted for DevOps Engineer at Global Ventures Ltd. Our client requires all candidates to undergo a standard verification process. Please submit $120 for document authentication. This amount will be reimbursed upon joining. Best regards, recruitment@agency.net Professional development opportunities. Background check required. No phone calls please.",1
International career opportunity: Software Engineer in UAE. Excellent salary package plus relocation assistance. We handle all visa formalities. Candidates need to submit $425 for immigration processing and work permits. Successful applicants will be contacted within 48 hours. Apply with your resume and cover letter. Great benefits included. Background check required.,1
Application Update Required: Your application for DevOps Engineer requires additional verification. Please update your profile with current contact information and complete the security verification process. Click the link to proceed. Failure to complete may result in application cancellation. Drug test may be required. Professional development opportunities.,1
"Dear Candidate, Congratulations on being shortlisted for DevOps Engineer at Premier Staffing. Our client requires all candidates to undergo a standard verification process. Please submit $224 for document authentication. This amount will be reimbursed upon joining. Best regards, recruitment@agency.net Apply with your resume and cover letter. Please apply ASAP. No phone calls please.",1
